item_name,date,buy_price,buy_price_limit,buy_quantity,commission_charge,order_status,time_created,time_finished
FET,Mar 27 2026,$0.2373,$0.2318,223053.6 FET $52930.62,unknown,unknown,unknown,unknown
FET,Mar 27 2026,$0.2371,$0.232,219236 FET $51980.86,unknown,unknown,unknown,unknown
FET,Mar 27 2026,$0.242,$0.242,8 FET $1.94,unknown,unknown,unknown,unknown
FET,Mar 27 2026,$0.2409,$0.2415,8 FET $1.93,unknown,unknown,unknown,unknown
FET,Mar 27 2026,$0.2326,$0.2326,223053.6 FET $51882.27,unknown,unknown,unknown,unknown
FET,Mar 27 2026,$0.2366,$0.2366,219235.9 FET $51871.21,unknown,unknown,unknown,unknown
FET,Mar 26 2026,$0.2383,$0.2372,442657 FET $105485.16,unknown,unknown,unknown,unknown
SOL,Mar 26 2026,$88.3,$88.3,592.827 SOL $52346.62,unknown,unknown,unknown,unknown
FET,Mar 26 2026,$0.2424,$0.2405,217785 FET $52791.08,unknown,unknown,unknown,unknown
FET,Mar 26 2026,$0.2497,$0.2503,8 FET $2.00,unknown,unknown,unknown,unknown
FET,Mar 26 2026,$0.2371,$0.2371,222349.7 FET $52719.11,unknown,unknown,unknown,unknown
FET,Mar 26 2026,$0.2508,$0.2508,8 FET $2.01,unknown,unknown,unknown,unknown
FET,Mar 26 2026,$0.242,$0.242,217785 FET $52703.97,unknown,unknown,unknown,unknown
SUI,Mar 26 2026,$0.954,$0.9537,110474.8 SUI $105392.96,unknown,unknown,unknown,unknown
SUI,Mar 26 2026,$0.9479,$0.9479,55656.2 SUI $52756.51,unknown,unknown,unknown,unknown
SUI,Mar 25 2026,$0.9533,$0.9533,55341.4 SUI $52756.96,unknown,unknown,unknown,unknown
SUI,Mar 25 2026,$0.9569,$0.9569,55133.4 SUI $52757.15,unknown,unknown,unknown,unknown
SOL,Mar 26 2026,$90.43,$90.43,583.386 SOL $52755.60,unknown,unknown,unknown,unknown
SOL,Mar 26 2026,$90.99,$90.99,579.787 SOL $52754.82,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$91.37,$91.37,577.412 SOL $52758.13,unknown,unknown,unknown,unknown
FET,Mar 26 2026,$0.2378,$0.2378,220307.4 FET $52389.10,unknown,unknown,unknown,unknown
SUI,Mar 25 2026,$0.9567,$0.9561,45745.8 SUI $43765.01,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$91.39,$91.39,30.921 SOL $2825.87,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$91.22,$89.82,1 SOL $91.22,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$91.22,$88.25,1 SOL $91.22,unknown,unknown,unknown,unknown
SOL,Mar 26 2026,$89.15,$89.15,168.732 SOL $15042.46,unknown,unknown,unknown,unknown
SOL,Mar 26 2026,$89.93,$89.93,167.26 SOL $15041.69,unknown,unknown,unknown,unknown
SOL,Mar 26 2026,$90.46,$90.46,166.293 SOL $15042.86,unknown,unknown,unknown,unknown
FET,Mar 25 2026,$0.2297,$0.2297,8 FET $1.84,unknown,unknown,unknown,unknown
FET,Mar 25 2026,$0.2287,$0.2293,8 FET $1.83,unknown,unknown,unknown,unknown
SUI,Mar 25 2026,$0.9525,$0.9525,28935 SUI $27560.59,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$90.71,$90.71,505.269 SOL $45832.95,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$89.85,$89.37,1 SOL $89.85,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$89.85,$88.02,1 SOL $89.85,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$88.72,$88.72,16.502 SOL $1464.06,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$89.17,$89.17,16.419 SOL $1464.08,unknown,unknown,unknown,unknown
SOL,Mar 24 2026,$90.49,$90.49,169.947 SOL $15378.50,unknown,unknown,unknown,unknown
SOL,Mar 24 2026,$91.01,$91.01,168.98 SOL $15378.87,unknown,unknown,unknown,unknown
SOL,Mar 24 2026,$91.35,$91.35,168.342 SOL $15378.04,unknown,unknown,unknown,unknown
FET,Mar 24 2026,$0.2192,$0.2192,9 FET $1.97,unknown,unknown,unknown,unknown
SOL,Mar 24 2026,$91.01,$91.02,168.98 SOL $15378.87,unknown,unknown,unknown,unknown
FET,Mar 24 2026,$0.2182,$0.2188,9 FET $1.96,unknown,unknown,unknown,unknown
SUI,Mar 23 2026,$0.9596,$0.9596,1.1 SUI $1.06,unknown,unknown,unknown,unknown
FET,Mar 24 2026,$0.236,$0.236,169272.6 FET $39948.33,unknown,unknown,unknown,unknown
SOL,Mar 25 2026,$92.86,$92.86,3496.334 SOL $324669.58,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$90.8,$90.8,1 SOL $90.80,unknown,unknown,unknown,unknown
SOL,Mar 23 2026,$90.22,$88.74,1 SOL $90.22,unknown,unknown,unknown,unknown
SUI,Mar 24 2026,$0.9313,$0.9313,28936 SUI $26948.10,unknown,unknown,unknown,unknown
